gene_symbol,Nanp
analysis_id,qn4u06wr24c9dbm
pvalue,0.8984717
parameter_id,MGP_PBI_030_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
