mouse_strain,129SV
gene_symbol,Inpp1
pvalue,0.6444199
parameter_id,IMPC_CBC_009_001
parameter_name,Calcium
analysis_id,9it92sad3824m2g
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
