parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
pvalue,0.601539
analysis_id,jnc5u7i2ct772gd
mouse_life_stage,Early adult
gene_symbol,Traf6
gene_accession_id,MGI:108072
mouse_strain,C57BL
