parameter_id,UCDLA_EYE_083_001
pvalue,0.2092603
mouse_strain,C57BL
analysis_id,wy5f9lc47389d05
gene_accession_id,MGI:1336200
parameter_name,Vitreous
gene_symbol,Hpca
mouse_life_stage,Late adult
