analysis_id,cukeg4hq6549nt7
gene_accession_id,MGI:894679
parameter_id,UCD_OWT_003_001
mouse_strain,C57BL
pvalue,0.3346128
mouse_life_stage,Early adult
parameter_name,Spleen weight
gene_symbol,BACH2
