parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
analysis_id,l4254bypo884gj6
parameter_name,Total holepokes
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.3426715
mouse_life_stage,Early adult
