gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
parameter_name,Limb grasp
analysis_id,jk49p0eh07j8y04
gene_accession_id,MGI:1924360
mouse_strain,C57BL
parameter_id,JAXLA_CSD_039_001
pvalue,0.7077358
