parameter_id,JAX_URI_002_001
parameter_name,Creatinine
gene_accession_id,MGI:99605
gene_symbol,Cntfr
pvalue,0.1639869
analysis_id,563b2qu247w10ir
mouse_strain,129SV
mouse_life_stage,Early adult
