parameter_name,Magnesium
gene_accession_id,MGI:894679
mouse_strain,C57BL
parameter_id,M-G-P_025_001_030
analysis_id,61653to97t86a88
pvalue,0.2736074
gene_symbol,Bach2
mouse_life_stage,Early adult
