mouse_strain,C57BL
gene_symbol,Ola1
parameter_name,Conditioning Baseline % Freezing Time
parameter_id,IMPC_FEA_003_001
pvalue,0.07811528
gene_accession_id,MGI:1914309
analysis_id,15092889wpho277
mouse_life_stage,E18.5
