analysis_id,3k741654jwc75z5
parameter_name,30kHz-evoked ABR Threshold
mouse_strain,C57BL
pvalue,0.7881461
gene_symbol,Ncaph
parameter_id,IMPC_ABR_012_001
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
