parameter_name,Skull shape
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
parameter_id,CCP_XRY_001_001
pvalue,0.9813784
gene_symbol,Ola1
analysis_id,8s0p612dq0ht46m
mouse_strain,C57BL
