gene_symbol,Bmi1
pvalue,0.8908154
mouse_life_stage,E15.5
mouse_strain,C57BL
analysis_id,qe4424lye2fmza1
parameter_id,IMPC_CSD_008_001
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:88174
