gene_symbol,Opn3
parameter_name,Conditioning Baseline % Freezing Time
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
analysis_id,qw167f47svboeu3
pvalue,0.1909313
parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
