analysis_id,806aw45157bh841
pvalue,0.2597161
parameter_name,Monocytes
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_051_001
