parameter_name,Neutrophil differential count
pvalue,0.6584638
mouse_strain,C57BL
analysis_id,m5r52anjpc2413v
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
parameter_id,IMPC_HEM_029_001
