analysis_id,s24jibz81u7h2sz
pvalue,0.4756635
mouse_life_stage,E12.5
gene_symbol,Bmi1
parameter_id,MGP_IMM_067_001
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of cDC
