parameter_id,IMPC_CBC_005_001
pvalue,0.5034538
mouse_strain,C57BL
gene_accession_id,MGI:1921262
parameter_name,Creatinine
gene_symbol,Rap2b
mouse_life_stage,Early adult
analysis_id,kng2bb77qe9x3c6
