gene_symbol,Mms22l
pvalue,0.9494412
mouse_life_stage,Early adult
parameter_id,MGP_IMM_066_001
parameter_name,CD11b-high cDC - % of cDC
gene_accession_id,MGI:2684980
mouse_strain,129SV
analysis_id,x170985nz6wdf4m
