parameter_name,eye size
gene_symbol,Bach2
gene_accession_id,MGI:894679
pvalue,0.1007861
mouse_strain,C57BL
parameter_id,ESLIM_001_001_117
analysis_id,8py5001fo7a789m
mouse_life_stage,Early adult
