gene_symbol,Eprs1
mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
parameter_name,PP4 + pulse startle magnitude
analysis_id,4l3t803824b129j
pvalue,0.3378301
parameter_id,ESLIM_011_001_010
