analysis_id,21q3695f12ph36v
mouse_life_stage,Early adult
parameter_name,center - distance
pvalue,0.06519418
gene_symbol,Eprs1
parameter_id,M-G-P_007_001_010
mouse_strain,C57BL
gene_accession_id,MGI:97838
