gene_symbol,Kcng1
parameter_id,IMPC_XRY_001_001
mouse_life_stage,Early adult
parameter_name,Skull shape
mouse_strain,C57BL
gene_accession_id,MGI:3616086
pvalue,0.9074596
analysis_id,4pkp88ilnsi30ll
