parameter_name,Center permanence time
parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
gene_symbol,Zmynd19
analysis_id,15i1xs0525i6xdu
pvalue,0.6175949
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
