analysis_id,z9k4p9e0iol995d
pvalue,0.205383
parameter_id,IMPC_XRY_018_001
gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_name,Shape of vertebrae
mouse_life_stage,E12.5
