analysis_id,o9h96j1x35q2zl1
parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
pvalue,0.4258718
mouse_strain,C57BL
gene_symbol,Cdin1
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:3026886
