analysis_id,z320701a7242b1v
mouse_life_stage,Early adult
pvalue,0.6765968
parameter_id,MGP_IMM_130_001
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of CD45+
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
