gene_symbol,Exd1
parameter_id,IMPC_XRY_065_001
analysis_id,ly32nn2mb6oj4p9
mouse_strain,C57BL
pvalue,0.8771291
parameter_name,Lumbar processes
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
