analysis_id,8b64yy83d52uh9k
mouse_strain,C57BL
parameter_name,Percentage center time
gene_symbol,Bmi1
parameter_id,JAX_OFD_022_001
pvalue,0.4771657
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
