parameter_name,Center average speed
analysis_id,5y01ewc1fvi61pk
pvalue,0.4560101
mouse_strain,C57BL
gene_accession_id,MGI:1914515
parameter_id,IMPC_OFD_017_001
gene_symbol,Slc39a10
mouse_life_stage,E9.5
