parameter_name,Sodium
mouse_strain,C57BL
parameter_id,IMPC_CBC_001_001
pvalue,0.9870723
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
analysis_id,xxmf01i99j0otlw
gene_symbol,Col6a3
