analysis_id,u8wf4y6at7xb2wj
gene_symbol,Cldn19
parameter_name,Response amplitude - S
gene_accession_id,MGI:3033992
parameter_id,IMPC_ACS_006_001
pvalue,0.7619144
mouse_life_stage,Early adult
mouse_strain,C57BL
