gene_symbol,Tbl1xr1
pvalue,0.3444678
analysis_id,50l9u13gvh9bd45
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
parameter_name,18kHz-evoked ABR Threshold
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
