gene_symbol,Sfpq
pvalue,1.407031
analysis_id,2g03qmo3195h8sg
parameter_name,Prepulse inhibition - PP3
mouse_strain,C57BL
gene_accession_id,MGI:1918764
parameter_id,ESLIM_011_001_703
mouse_life_stage,Early adult
