parameter_name,Limb coat/hair presence
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_CSD_030_001
analysis_id,e7iiak038h60kfu
gene_accession_id,MGI:3045306
gene_symbol,Exd1
pvalue,0.570529
