parameter_name,Head coat/hair presence
mouse_strain,C57BL
pvalue,0.2346973
analysis_id,h4z112ja783272d
parameter_id,MGP_CSD_015_001
gene_symbol,Cdin1
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
