analysis_id,p0955mq5212oy7b
gene_accession_id,MGI:1309468
pvalue,0.8233019
parameter_name,T cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_BMI_019_001
mouse_life_stage,Early adult
gene_symbol,Casq1
