analysis_id,blbgoun341yil3g
mouse_strain,C57BL
parameter_id,IMPC_ACS_035_001
parameter_name,% Pre-pulse inhibition - PPI3
gene_symbol,Sfpq
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
pvalue,0.7688333
