gene_symbol,Cpa3
parameter_name,Weight
analysis_id,hue6x21p0di3999
pvalue,0.1602652
mouse_strain,C57BL
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_001
