analysis_id,232hjuu5ri8hbjr
pvalue,0.6520244
gene_accession_id,MGI:105072
parameter_name,Persistence of hyaloid vascular system
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
gene_symbol,Rab22a
mouse_strain,C57BL
