parameter_name,Eosinophil differential count
mouse_life_stage,E12.5
mouse_strain,C54BL
pvalue,0.7205209
parameter_id,IMPC_HEM_035_001
gene_accession_id,MGI:97838
analysis_id,908j884h5165h14
gene_symbol,Eprs1
