parameter_name,Time mobile dark side
gene_accession_id,MGI:894679
mouse_strain,C57BL
gene_symbol,Bach2
analysis_id,qcgx59bwyd85fv7
mouse_life_stage,Early adult
pvalue,0.07773868
parameter_id,JAX_LDT_005_001
