parameter_id,HMGULA_DYS_024_001
analysis_id,w4t6787icvu2u7i
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Cntfr
gene_accession_id,MGI:99605
parameter_name,Vibrissae - appearance
pvalue,0.7935904
