parameter_id,IMPC_GRS_009_001
mouse_life_stage,Early adult
gene_symbol,Eprs1
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_strain,C57BL
analysis_id,588iedh05v248k4
pvalue,0.2397677
gene_accession_id,MGI:97838
