gene_symbol,Hrnr
parameter_name,Corneal vascularization
gene_accession_id,MGI:3046938
analysis_id,4e78r0yf6gvhm3g
pvalue,0.8583032
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_009_001
mouse_strain,C57BL
