analysis_id,3f0fu5wmn1u7p75
gene_accession_id,MGI:104848
pvalue,0.1310073
parameter_name,Coat colouration
gene_symbol,Inpp1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_026_001_004
