parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
analysis_id,4l4r0tj2700a57h
pvalue,0.6214112
gene_accession_id,MGI:1929242
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ivd
