parameter_id,TCPLA_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Ints7
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924315
analysis_id,053c2va1n5m4225
pvalue,0.5769307
