parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Eprs1
parameter_name,Lens Opacity
pvalue,0.8085629
gene_accession_id,MGI:97838
analysis_id,3e6eay3gp7en6yo
