gene_symbol,Sgip1
gene_accession_id,MGI:1920344
pvalue,0.525523
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_011_001
mouse_strain,C57BL
analysis_id,w62c2a1bq74f9p1
parameter_name,Coat - hair distribution - back
