parameter_name,PQ
analysis_id,m558hll547t41zr
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
pvalue,0.5968557
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_005_001
