analysis_id,1cf9y2814l51d2s
gene_symbol,Col6a3
mouse_life_stage,Early adult
parameter_name,Body weight
mouse_strain,C57BL
pvalue,0.416434
gene_accession_id,MGI:88461
parameter_id,M-G-P_009_001_003
