gene_symbol,Fpgs
gene_accession_id,MGI:95576
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
pvalue,0.8460201
parameter_id,MGP_PBI_032_001
analysis_id,c06si5tw2338b1r
mouse_strain,C57BL
