parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
analysis_id,0la6l6q013gcp6k
gene_accession_id,MGI:2685266
pvalue,0.3025038
gene_symbol,Pglyrp3
mouse_life_stage,Early adult
mouse_strain,C57BL
