pvalue,0.8874865
parameter_id,IMPC_FEA_106_001
mouse_strain,C57BL
analysis_id,993y36q2o2ep8x8
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
mouse_life_stage,Early adult
