parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
analysis_id,v3m2cl0l6171671
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:1925049
gene_symbol,Sla2
pvalue,0.3389171
mouse_strain,C57BL
