gene_symbol,Arpc5l
mouse_strain,C57BL
parameter_id,IMPC_EYE_062_001
pvalue,0.2407418
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
parameter_name,Right total retinal thickness
analysis_id,1464j0916zb5x15
