analysis_id,1254ny841k458h7
parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
parameter_name,BMC/Body weight
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
pvalue,0.2029983
gene_symbol,LURAP1
