analysis_id,d64y28fze4idy5z
parameter_name,Chloride
pvalue,0.6130221
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
gene_symbol,Trim46
