parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
pvalue,0.398407
mouse_strain,129SV
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
mouse_life_stage,Early adult
analysis_id,n6np3rlur6w1gx5
