analysis_id,1g18w9i17c3g6k8
gene_symbol,Bmp7
pvalue,0.7570771
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:103302
parameter_name,Startle response
parameter_id,MGP_CSD_008_001
