parameter_id,IMPC_ECH_005_001
mouse_life_stage,Early adult
pvalue,0.2582924
gene_accession_id,MGI:2181659
mouse_strain,C57BL
parameter_name,Fractional Shortening
gene_symbol,Tox
analysis_id,fl47k9219w03h4r
