gene_symbol,Traf6
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_010_001
pvalue,0.9808259
analysis_id,oh838495gp16j9l
mouse_strain,C57BL
