analysis_id,430hkbgt954vm31
parameter_name,Head coat/hair presence
gene_symbol,Casq1
mouse_strain,C57BL
gene_accession_id,MGI:1309468
pvalue,0.5499926
mouse_life_stage,Early adult
parameter_id,MGP_CSD_015_001
